id,title,handle,description,status,category_id,type,collection_id,tags,thumbnail,weight,length,height,width,hs_code,origin_country,mid_code,material
prod_72,Polera ML - SOLRÍE,polera-ml-solre,Uniforme escolar - Polera ML,published,college_6,uniform,,"SOLRÍE,Polera ML",,,,,,,CL,,
prod_73,Pan Buzo - SOLRÍE,pan-buzo-solre,Uniforme escolar - Pantalón Buzo,published,college_6,uniform,,"SOLRÍE,Pantalón Buzo",,,,,,,CL,,
prod_74,Polerón Buzo - SOLRÍE,polern-buzo-solre,Uniforme escolar - Polerón Buzo,published,college_6,uniform,,"SOLRÍE,Polerón Buzo",,,,,,,CL,,
prod_75,Delan - SOLRÍE,delan-solre,Uniforme escolar - Delantal,published,college_6,uniform,,"SOLRÍE,Delantal",,,,,,,CL,,
prod_76,Co - SOLRÍE,co-solre,Uniforme escolar - Cotona,published,college_6,uniform,,"SOLRÍE,Cotona",,,,,,,CL,,
prod_77,Polar Azul - SOLRÍE,polar-azul-solre,Uniforme escolar - Polar Azul,published,college_6,uniform,,"SOLRÍE,Polar Azul",,,,,,,CL,,
prod_78,Polera Pique - JUAN XXIII,polera-pique-juan-xxiii,Uniforme escolar - Polera Pique,published,college_2,uniform,,"JUAN XXIII,Polera Pique",,,,,,,CL,,
prod_79,Polera Polo - JUAN XXIII,polera-polo-juan-xxiii,Uniforme escolar - Polera Polo,published,college_2,uniform,,"JUAN XXIII,Polera Polo",,,,,,,CL,,
prod_80,Pan Buzo - JUAN XXIII,pan-buzo-juan-xxiii,Uniforme escolar - Pantalón Buzo,published,college_2,uniform,,"JUAN XXIII,Pantalón Buzo",,,,,,,CL,,
prod_81,Chaque Buzo - JUAN XXIII,chaque-buzo-juan-xxiii,Uniforme escolar - Chaqueta Buzo,published,college_2,uniform,,"JUAN XXIII,Chaqueta Buzo",,,,,,,CL,,
prod_82,Delan Celes - JUAN XXIII,delan-celes-juan-xxiii,Uniforme escolar - Delantal Celeste,published,college_2,uniform,,"JUAN XXIII,Delantal Celeste",,,,,,,CL,,
prod_83,Short - JUAN XXIII,short-juan-xxiii,Uniforme escolar - Short,published,college_2,uniform,,"JUAN XXIII,Short",,,,,,,CL,,
prod_84,Bolsi kinder azul marino - JUAN XXIII,bolsi-kinder-azul-marino-juan-xxiii,Uniforme escolar - Bolsita kinder azul marino,published,college_2,uniform,,"JUAN XXIII,Bolsita kinder azul marino",,,,,,,CL,,
prod_85,bolsi azul marino chica - JUAN XXIII,bolsi-azul-marino-chica-juan-xxiii,Uniforme escolar - bolsita azul marino chica,published,college_2,uniform,,"JUAN XXIII,bolsita azul marino chica",,,,,,,CL,,
prod_86,Parkas - JUAN XXIII,parkas-juan-xxiii,Uniforme escolar - Parkas,published,college_2,uniform,,"JUAN XXIII,Parkas",,,,,,,CL,,
prod_87,1 - VARIOS CODIGOS,1-varios-codigos,Uniforme escolar - 1,published,college_10,uniform,,"VARIOS CODIGOS,1",,,,,,,CL,,
prod_88,Chaqu - NAHUEL,chaqu-nahuel,Uniforme escolar - Chaquta,published,college_8,uniform,,"NAHUEL,Chaquta",,,,,,,CL,,
prod_89,Chaque - NAHUEL,chaque-nahuel,Uniforme escolar - Chaqueta,published,college_8,uniform,,"NAHUEL,Chaqueta",,,,,,,CL,,
prod_90,Pan - NAHUEL,pan-nahuel,Uniforme escolar - Pantalón,published,college_8,uniform,,"NAHUEL,Pantalón",,,,,,,CL,,
prod_91,Polera - NAHUEL,polera-nahuel,Uniforme escolar - Polera ,published,college_8,uniform,,"NAHUEL,Polera ",,,,,,,CL,,
prod_92,Polera Piqué - NAHUEL,polera-piqu-nahuel,Uniforme escolar - Polera Piqué,published,college_8,uniform,,"NAHUEL,Polera Piqué",,,,,,,CL,,
prod_93,Polera pique - NAHUEL,polera-pique-nahuel,Uniforme escolar - Polera pique,published,college_8,uniform,,"NAHUEL,Polera pique",,,,,,,CL,,
prod_94,nan,nan,Uniforme escolar - nan,published,generic,uniform,,"Genérico,nan",,,,,,,CL,,
prod_95,Delan - NAHUEL,delan-nahuel,Uniforme escolar - Delantal,published,college_8,uniform,,"NAHUEL,Delantal",,,,,,,CL,,
prod_96,Co - NAHUEL,co-nahuel,Uniforme escolar - Cotona,published,college_8,uniform,,"NAHUEL,Cotona",,,,,,,CL,,
prod_97,Polerón - NAHUEL,polern-nahuel,Uniforme escolar - Polerón,published,college_8,uniform,,"NAHUEL,Polerón",,,,,,,CL,,
