Nro_doc,fecha,Item,Codigo,Cantidad,Precio
28834.0,2021-11-09 00:00:00,1.0,6102,1,1500
28835.0,2021-11-09 00:00:00,1.0,1008,1,22500
28835.0,2021-11-09 00:00:00,2.0,1308,1,7000
28836.0,2021-11-09 00:00:00,1.0,9210,1,7500
28837.0,2021-11-09 00:00:00,1.0,1120,1,14500
28838.0,2021-11-09 00:00:00,1.0,6102,1,5000
28839.0,2021-11-09 00:00:00,1.0,1612,1,15500
28839.0,2021-11-09 00:00:00,2.0,8001,1,5000
28840.0,2021-11-10 00:00:00,1.0,1316,1,8500
28841.0,2021-11-10 00:00:00,1.0,1120,1,14500
28841.0,2021-11-10 00:00:00,2.0,2322,1,14500
28842.0,2021-11-11 00:00:00,1.0,1116,1,13500
28842.0,2021-11-11 00:00:00,2.0,2314,1,13500
28843.0,2021-11-11 00:00:00,1.0,1914,1,9000
28843.0,2021-11-11 00:00:00,2.0,1312,1,8000
28844.0,2021-11-11 00:00:00,1.0,1122,1,14500
28846.0,2021-11-11 00:00:00,1.0,2324,1,14500
28847.0,2021-11-12 00:00:00,1.0,1118,1,14000
28848.0,2021-11-12 00:00:00,1.0,2120,1,16800
28848.0,2021-11-12 00:00:00,2.0,2322,1,14500
28849.0,2021-11-15 00:00:00,1.0,1120,1,14500
28849.0,2021-11-15 00:00:00,2.0,2120,1,16800
28850.0,2021-11-08 00:00:00,1.0,6102,1,10000
28853.0,2021-11-15 00:00:00,1.0,1906,1,8500
28853.0,2021-11-15 00:00:00,2.0,1306,1,7000
28854.0,2021-11-16 00:00:00,1.0,33010,1,13500
28854.0,2021-11-16 00:00:00,2.0,31002,1,5000
28855.0,2021-11-16 00:00:00,1.0,2308,1,11000
28855.0,2021-11-16 00:00:00,2.0,1308,1,7500
28855.0,2021-11-16 00:00:00,3.0,1710,1,6800
28855.0,2021-11-16 00:00:00,4.0,1316,1,8500
28855.0,2021-11-16 00:00:00,5.0,1720,1,8000
28855.0,2021-11-16 00:00:00,6.0,2316,1,13500
28856.0,2021-11-16 00:00:00,1.0,6102,1,2000
28857.0,2021-11-17 00:00:00,1.0,1718,1,8000
28858.0,2021-11-17 00:00:00,1.0,6102,1,4000
28859.0,2021-11-17 00:00:00,1.0,6102,1,3000
28701.0,2021-10-08 00:00:00,1.0,6102,1,4800
28701.0,2021-10-08 00:00:00,2.0,2320,1,14000
28702.0,2021-10-08 00:00:00,1.0,1016,1,25500
28702.0,2021-10-08 00:00:00,2.0,1316,1,7500
28702.0,2021-10-08 00:00:00,3.0,1314,1,8500
28702.0,2021-10-08 00:00:00,4.0,1616,1,15000
28704.0,2021-10-08 00:00:00,1.0,2312,1,12000
28705.0,2021-10-12 00:00:00,1.0,4010,1,21500
28706.0,2021-10-12 00:00:00,1.0,4012,1,22000
28707.0,2021-10-12 00:00:00,1.0,1314,1,7500
28708.0,2021-10-12 00:00:00,1.0,1312,2,7000
28708.0,2021-10-12 00:00:00,2.0,2312,1,12000
28708.0,2021-10-12 00:00:00,3.0,2414,1,14200
28708.0,2021-10-12 00:00:00,4.0,1612,1,14200
28709.0,2021-10-12 00:00:00,1.0,2408,1,13000
28710.0,2021-10-12 00:00:00,1.0,4112,2,7000
28711.0,2021-10-12 00:00:00,1.0,6102,1,4000
28713.0,2021-10-12 00:00:00,1.0,1312,1,7000
28714.0,2021-10-12 00:00:00,1.0,1318,1,8000
28714.0,2021-10-12 00:00:00,2.0,1018,1,26500
28714.0,2021-10-12 00:00:00,3.0,1618,1,15800
28715.0,2021-10-12 00:00:00,1.0,6102,1,4000
28716.0,2021-10-12 00:00:00,1.0,1922,1,8800
28851.0,2021-11-15 00:00:00,1.0,2312,1,12500
28860.0,2021-11-17 00:00:00,1.0,1318,1,8800
28717.0,2021-10-12 00:00:00,1.0,1314,1,7500
28718.0,2021-10-13 00:00:00,1.0,4120,1,7800
28718.0,2021-10-13 00:00:00,2.0,4114,1,6500
28718.0,2021-10-13 00:00:00,3.0,4108,1,6500
28719.0,2021-10-13 00:00:00,1.0,1308,1,7500
28720.0,2021-10-13 00:00:00,1.0,6102,1,2000
28721.0,2021-10-13 00:00:00,1.0,1112,1,10800
28722.0,2021-10-13 00:00:00,1.0,6102,1,13500
28724.0,2021-10-13 00:00:00,1.0,1016,1,25500
28724.0,2021-10-13 00:00:00,2.0,1118,1,12000
28725.0,2021-10-13 00:00:00,1.0,6102,1,6000
28726.0,2021-10-13 00:00:00,1.0,6102,1,4000
28727.0,2021-10-13 00:00:00,1.0,2318,1,13500
28727.0,2021-10-13 00:00:00,2.0,1118,1,12000
28727.0,2021-10-13 00:00:00,3.0,1316,1,7500
28728.0,2021-10-15 00:00:00,1.0,2310,1,11500
28730.0,2021-10-15 00:00:00,1.0,1322,1,8000
28732.0,2021-10-15 00:00:00,1.0,1320,2,8000
28733.0,2021-10-15 00:00:00,1.0,1612,1,14200
28734.0,2021-10-15 00:00:00,1.0,1310,1,7500
28735.0,2021-10-18 00:00:00,1.0,2320,1,14000
28736.0,2021-10-18 00:00:00,1.0,1014,1,24500
28736.0,2021-10-18 00:00:00,2.0,1312,1,7000
28737.0,2021-10-18 00:00:00,1.0,1920,1,10800
28737.0,2021-10-18 00:00:00,2.0,1310,1,7000
28739.0,2021-10-19 00:00:00,1.0,1916,1,8300
28739.0,2021-10-19 00:00:00,2.0,1108,1,9500
28739.0,2021-10-19 00:00:00,3.0,1316,1,7500
28739.0,2021-10-19 00:00:00,4.0,1116,1,12000
28741.0,2021-10-19 00:00:00,1.0,6102,1,12800
28742.0,2021-10-19 00:00:00,1.0,2310,1,11500
28743.0,2021-10-19 00:00:00,1.0,6102,1,9600
28744.0,2021-10-19 00:00:00,1.0,6102,1,4000
28745.0,2021-10-19 00:00:00,1.0,53018,1,10800
28745.0,2021-10-19 00:00:00,2.0,50016,1,10000
28746.0,2021-10-19 00:00:00,1.0,2312,2,12000
28746.0,2021-10-19 00:00:00,2.0,1912,1,8500
28748.0,2021-10-19 00:00:00,1.0,2324,1,14500
28748.0,2021-10-19 00:00:00,2.0,1312,2,8000
28748.0,2021-10-19 00:00:00,3.0,1324,2,10000
28748.0,2021-10-19 00:00:00,4.0,1624,1,18000
28748.0,2021-10-19 00:00:00,5.0,2312,1,12000
28750.0,2021-10-20 00:00:00,1.0,1920,1,10800
28750.0,2021-10-20 00:00:00,2.0,1120,1,14000
28651.0,2021-10-20 00:00:00,1.0,9316,2,12200
28653.0,2021-10-01 00:00:00,1.0,9212,2,5800
28654.0,2021-10-01 00:00:00,1.0,1116,1,11500
28654.0,2021-10-01 00:00:00,2.0,1316,2,7000
28657.0,2021-10-04 00:00:00,1.0,1310,2,7000
28658.0,2021-10-04 00:00:00,1.0,9306,1,9800
28658.0,2021-10-04 00:00:00,2.0,9208,2,7000
