Documento,codigo,fecha,stock,Origen,Tipo_mov
121212,1612,2025-07-27 00:00:00,20,03 Adriana,confeccion
121212,1614,2025-07-27 00:00:00,25,03 Adriana,confeccion
121212,1616,2025-07-27 00:00:00,20,03 Adriana,confeccion
131313,2112,2025-07-27 00:00:00,10,04 Andrea,
131313,2116,2025-07-27 00:00:00,12,04 Andrea,
131313,2110,2025-07-27 00:00:00,10,04 Andrea,confeccion
176,1212,2025-07-31 00:00:00,18,03 Adriana,coser manga
176,1216,2025-07-31 00:00:00,5,03 Adriana,coser manga
