fecha,item,hora,concepto,monto,responsable
2023-02-02 00:00:00,,1899-12-30 03:25:00,retiro,150000,cary
2022-11-11 00:00:00,,1899-12-30 13:00:00,tierre de hoja,5000,claudia
2022-11-16 00:00:00,,1899-12-30 12:00:00,retiro,60000,csry
2022-11-22 00:00:00,,1899-12-30 13:00:00,colacion,2000,cary 
2022-11-23 00:00:00,,1899-12-30 11:00:00,retiro,100000,cary
2022-11-28 00:00:00,,1899-12-30 11:00:00,retiro,50000,cary
2022-11-29 00:00:00,,1899-12-30 11:00:00,flete,4000,cary
2022-11-30 00:00:00,,1899-12-30 13:00:00,retiro,30000,cary
2022-12-05 00:00:00,,1899-12-30 11:00:00,retiro,20000,cary
2022-12-05 00:00:00,,1899-12-30 12:00:00,cartero,2000,cary
2022-12-05 00:00:00,,1899-12-30 13:00:00,flete,4000,cary
2022-12-06 00:00:00,,1899-12-30 11:00:00,retiro,50000,cary
2022-12-09 00:00:00,,1899-12-30 12:00:00,retiro,80000,cary
2022-12-13 00:00:00,,1899-12-30 11:00:00,retiro,10000,july
2022-12-15 00:00:00,,1899-12-30 13:00:00,flete,4000,cary
2023-01-11 00:00:00,,1899-12-30 11:00:00,libreria,7000,cary
2023-01-09 00:00:00,,1899-12-30 11:50:00,libreria,5000,cary
2023-01-12 00:00:00,,1899-12-30 13:00:00,donacion,200,julia
2023-01-10 00:00:00,,1899-12-30 14:20:00,retiro,100000,cary
2023-01-17 00:00:00,,1899-12-30 18:30:00,retiro,20000,julia
2023-01-19 00:00:00,,1899-12-30 12:00:00,flete,8000,cary
2023-01-23 00:00:00,,1899-12-30 11:00:00,flete,4000,cary
2023-01-23 00:00:00,,1899-12-30 13:00:00,colacion,1700,cARY
2023-01-18 00:00:00,,1899-12-30 11:00:00,retiro,80000,cary
2023-01-18 00:00:00,,1899-12-30 15:01:00,retiro,200000,cary
2023-01-24 00:00:00,,1899-12-30 13:13:00,retiro,100000,cary
2023-01-24 00:00:00,,1899-12-30 18:00:00,retiro,100000,cary
2023-01-20 00:00:00,,1899-12-30 13:00:00,retiro,100000,cary
2023-01-20 00:00:00,,1899-12-30 14:00:00,flete             ,4000,cary
2023-01-20 00:00:00,,1899-12-30 16:00:00,retiro,100000,cary
2023-01-26 00:00:00,,1899-12-30 11:00:00,retiro,60000,cary
2023-01-26 00:00:00,,1899-12-30 13:00:00,RETIRO,80000,CARY
2023-01-26 00:00:00,,1899-12-30 18:00:00,DEVOLUCION,10800,CLAUDIA
2023-01-27 00:00:00,,1899-12-30 16:16:00,RETIRO,100000,CARY
2023-01-27 00:00:00,,1899-12-30 18:00:00,FLETE,10000,CARY
2023-02-02 00:00:00,,1899-12-30 06:51:00,retiro,20000,julia
2023-02-03 00:00:00,,1899-12-30 01:59:00,retiro,100000,cary
2023-02-03 00:00:00,,1899-12-30 04:07:00,flete,4000,cary
2023-02-03 00:00:00,,1899-12-30 04:07:00,retiro ,120000,cary
2023-02-03 00:00:00,,1899-12-30 06:06:00,retiro,35000,cary
2023-02-06 00:00:00,,1899-12-30 12:35:00,retiro,80000,cary
2023-02-06 00:00:00,,1899-12-30 01:28:00,flete,12000,cary
2023-02-06 00:00:00,,1899-12-30 05:41:00,retiro,160000,cary
2023-02-07 00:00:00,,1899-12-30 01:50:00,RETIRO,30000,CARY
2023-02-07 00:00:00,,1899-12-30 06:54:00,RETIRO,40000,CARY
2023-02-08 00:00:00,,1899-12-30 11:27:00,RETIRO,90000,CARY
2023-02-08 00:00:00,,1899-12-30 12:04:00,RETIRO,100000,CARY
2023-02-08 00:00:00,,1899-12-30 01:32:00,RETIRO,90000,CARY
2023-02-08 00:00:00,,1899-12-30 04:41:00,RETIRO,50000,CARY
2023-02-08 00:00:00,,1899-12-30 06:56:00,retiro,40000,cary
2023-02-09 00:00:00,,1899-12-30 01:32:00,FLETE,4000,CARY
2023-02-09 00:00:00,,1899-12-30 01:32:00,RETIRO,140000,CARY
2023-02-09 00:00:00,,1899-12-30 04:19:00,RETIRO,5000,CARY
2023-02-09 00:00:00,,1899-12-30 06:53:00,RETIRO,50000,CARY
2023-02-11 00:00:00,,1899-12-30 12:21:00,retiro,40000,claudia
2023-02-13 00:00:00,,1899-12-30 01:01:00,FLETE,16000,CARY
2023-02-13 00:00:00,,1899-12-30 04:04:00,RETIRO,40000,CARY
2023-02-13 00:00:00,,1899-12-30 05:24:00,RETIRO,180000,CARY
2023-02-13 00:00:00,,1899-12-30 06:18:00,RETIRO,190000,CARY
2023-02-14 00:00:00,,1899-12-30 12:40:00,FLETE,12000,CARY
2023-02-14 00:00:00,,1899-12-30 12:40:00,RETIRO,70000,CARY
2023-02-14 00:00:00,,1899-12-30 05:09:00,RETIRO,70000,CARY
2023-02-14 00:00:00,,1899-12-30 07:44:00,DONACION,1000,
2023-02-14 00:00:00,,1899-12-30 08:01:00,RETIRO,40000,
2023-02-15 00:00:00,,1899-12-30 10:51:00,RETIRO,140000,CARY
2023-02-15 00:00:00,,1899-12-30 01:14:00,FLETE,8000,CARY
2023-02-15 00:00:00,,1899-12-30 01:19:00,RETIRO,40000,CARY
2023-02-15 00:00:00,,1899-12-30 05:39:00,RETIRO,240000,CARY
2023-02-15 00:00:00,,1899-12-30 05:55:00,RETIRO,110000,CARY
2023-02-15 00:00:00,,1899-12-30 06:41:00,RETIRO,20000,JULIA
2023-02-10 00:00:00,,1899-12-30 04:43:00,rretiro,300000,cary
2023-02-10 00:00:00,,1899-12-30 14:00:00,RETIRO,100000,CARY
2023-02-16 00:00:00,,1899-12-30 12:35:00,RETIRO,160000,CARY
2023-02-16 00:00:00,,1899-12-30 04:24:00,RETIRO,60000,CARY
2023-02-16 00:00:00,,1899-12-30 06:40:00,RETIRO,30000,CARY
2023-02-17 00:00:00,,1899-12-30 11:52:00,RETIRO,50000,CARY
2023-02-17 00:00:00,,1899-12-30 12:33:00,FLETE ,12000,CARY
2023-02-17 00:00:00,,1899-12-30 04:15:00,RETIRO,90000,CARY
2023-02-17 00:00:00,,1899-12-30 05:33:00,RETIRO,60000,CARY
2023-02-17 00:00:00,,1899-12-30 06:38:00,RETIRO,100000,CSRY
2023-02-18 00:00:00,,1899-12-30 01:40:00,RETIRO,40000,CARY
2023-02-18 00:00:00,,1899-12-30 15:40:00,RETIRO,100000,CLAUDIA
2023-02-20 00:00:00,,1899-12-30 02:18:00,RETIRO,100000,CARY
2023-02-20 00:00:00,,1899-12-30 05:25:00,retiri,230000,cary
2023-02-20 00:00:00,,1899-12-30 06:28:00,retiro,120000,cary
2023-02-21 00:00:00,,1899-12-30 12:23:00,RETIRO,180000,CARY
2023-02-21 00:00:00,,1899-12-30 01:17:00,RETIRO,60000,CARY
2023-02-21 00:00:00,,1899-12-30 05:50:00,RETIRO,110000,CARY
2023-02-21 00:00:00,,1899-12-30 05:58:00,RETIRO,50000,CARY
2023-02-21 00:00:00,,1899-12-30 06:16:00,RETIRO,50000,CARY
2023-02-22 00:00:00,,1899-12-30 11:53:00,RETIRO,200000,CARY
2023-02-22 00:00:00,,1899-12-30 02:49:00,RETIRO,140000,CARY
2023-02-22 00:00:00,,1899-12-30 05:21:00,RETIRO,200000,CARY
2023-02-23 00:00:00,,1899-12-30 03:27:00,RETIRO,70000,CARY
2023-02-23 00:00:00,,1899-12-30 03:56:00,RETIRO,50000,CARY
2023-02-23 00:00:00,,1899-12-30 05:04:00,RETIRO,70000,CARY
